Suburbs,Postcodes
Anzac Village,2173
Ashcroft,2168
Austral,2179
Badgerys Creek (crosses Penrith Council) ,2555
Bringelly (crosses Camden Council),2556
Busby,2168
Carnes Hill,2171
Cartwright,2168
Casula,2170
Casula Mall Shopping Centre,2170
Cecil Hills,2171
Cecil Park (crosses Fairfield and Penrith Councils) ,2178
Chatham Village,2170
Chipping Norton,2170
Cross Roads,2170
Denham Court (crosses Campbelltown Council) ,2565
Edmondson,2171
Edmondson Park,2174
Green Valley,2168
Greendale,2745
Greenway Park,2171
Hammondville,2170
Hammondville East,2171
Hargrave Park,2170
Heckenberg,2168
Hillview,2170
Hinchinbrook,2168
Holsworthy,2173
Horningsea Park,2171
Hoxton Park,2171
Ingleburn (crosses Campbelltown Council) ,2565
Ingleburn Military Camp (crosses Campbelltown Council) ,2174
Ingleburn Village,2174
Kemps Creek (crosses Penrith Council) ,2178
Kookaburra,2171
Leppington (crosses Camden and Campbelltown Councils) ,2179
Liverpool,2170
Liverpool Military Camp,2173
Liverpool North,2170
Liverpool South,2170
Liverpool West,2170
Liverpool Westfield,2170
Luddenham (crosses Penrith Council),2745
Lurnea,2170
Middleton Grange,2170
Miller,2168
Moorebank,2170
Moorebank Village,2170
Mount Pritchard (crosses Fairfield Council) ,2170
Pleasure Point,2172
Prestons,2170
Rossmore (crosses Camden Council),2557
Sadleir,2168
The Cross Roads,2170
Voyager Point,2172
Wallacia (crosses Wollondilly and Penrith Councils) ,2745
Warwick Farm,2170
Wattle Grove,2173
West Hoxton,2171
